"Step","unif_pb_2agents_seed1 - 2cover_rate"
"72840000","0.488"
"72900000","0.495"
"72960000","0.5067999999999999"
"73020000","0.5054"
"73080000","0.5037999999999999"
"73140000","0.4806"
"73200000","0.5108"
"73260000","0.4943999999999999"
"73320000","0.5018"
"73380000","0.483"
"73440000","0.4792"
"73500000","0.5214000000000001"
"73560000","0.47320000000000007"
"73620000","0.4996"
"73680000","0.4958000000000001"
"73740000","0.491"
"73800000","0.5054"
"73860000","0.5094000000000001"
"73920000","0.5022"
"73980000","0.5052"
"74040000","0.515"
"74100000","0.5254"
"74160000","0.515"
"74220000","0.5126000000000001"
"74280000","0.516"
"74340000","0.5084000000000001"
"74400000","0.525"
"74460000","0.5127999999999999"
"74520000","0.493"
"74580000","0.517"
"74640000","0.4968"
"74700000","0.5116"
"74760000","0.477"
"74820000","0.5116"
"74880000","0.5148"
"74940000","0.512"
"75000000","0.4932"
"75060000","0.5172"
"75120000","0.507"
"75180000","0.4973999999999999"
