"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"19593600","0.042","0.042","0.042"
"19624800","0.043","0.043","0.043"
"19656000","0.058","0.058","0.058"
"19687200","0.079","0.079","0.079"
"19718400","0.033","0.033","0.033"
"19749600","0.054","0.054","0.054"
"19780800","0.037","0.037","0.037"
"19812000","0.038","0.038","0.038"
"19843200","0.037","0.037","0.037"
"19874400","0.027","0.027","0.027"
"19905600","0.035","0.035","0.035"
"19936800","0.054","0.054","0.054"
"19968000","0.072","0.072","0.072"
"19999200","0.048","0.048","0.048"
"20030400","0.044","0.044","0.044"
"20061600","0.064","0.064","0.064"
"20092800","0.031","0.031","0.031"
"20124000","0.109","0.109","0.109"
"20155200","0.067","0.067","0.067"
"20186400","0.047","0.047","0.047"
"20217600","0.059","0.059","0.059"
"20248800","0.062","0.062","0.062"
"20280000","0.024","0.024","0.024"
"20311200","0.072","0.072","0.072"
"20342400","0.032","0.032","0.032"
"20373600","0.078","0.078","0.078"
"20404800","0.049","0.049","0.049"
"20436000","0.074","0.074","0.074"
"20467200","0.037","0.037","0.037"
"20498400","0.071","0.071","0.071"
"20529600","0.108","0.108","0.108"
"20560800","0.081","0.081","0.081"
"20592000","0.059","0.059","0.059"
"20623200","0.087","0.087","0.087"
"20654400","0.047","0.047","0.047"
"20685600","0.089","0.089","0.089"
"20716800","0.082","0.082","0.082"
"20748000","0.07","0.07","0.07"
"20779200","0.097","0.097","0.097"
"20810400","0.091","0.091","0.091"
"20841600","0.112","0.112","0.112"
"20872800","0.123","0.123","0.123"
"20904000","0.087","0.087","0.087"
"20935200","0.159","0.159","0.159"
"20966400","0.132","0.132","0.132"
"20997600","0.093","0.093","0.093"
"21028800","0.103","0.103","0.103"
"21060000","0.11","0.11","0.11"
"21091200","0.117","0.117","0.117"
"21122400","0.127","0.127","0.127"
"21153600","0.12","0.12","0.12"
"21184800","0.125","0.125","0.125"
"21216000","0.095","0.095","0.095"
"21247200","0.161","0.161","0.161"
"21278400","0.123","0.123","0.123"
"21309600","0.097","0.097","0.097"
"21340800","0.173","0.173","0.173"
"21372000","0.162","0.162","0.162"
"21403200","0.138","0.138","0.138"
"21434400","0.184","0.184","0.184"
"21465600","0.103","0.103","0.103"
"21496800","0.125","0.125","0.125"
"21528000","0.164","0.164","0.164"
"21559200","0.176","0.176","0.176"
"21590400","0.194","0.194","0.194"
"21621600","0.167","0.167","0.167"
"21652800","0.191","0.191","0.191"
"21684000","0.226","0.226","0.226"
"21715200","0.152","0.152","0.152"
"21746400","0.152","0.152","0.152"
"21777600","0.185","0.185","0.185"
"21808800","0.205","0.205","0.205"
"21840000","0.15","0.15","0.15"
"21871200","0.179","0.179","0.179"
"21902400","0.219","0.219","0.219"
"21933600","0.168","0.168","0.168"
"21964800","0.2","0.2","0.2"
"21996000","0.237","0.237","0.237"
"22027200","0.235","0.235","0.235"
"22058400","0.171","0.171","0.171"
"22089600","0.16","0.16","0.16"
"22120800","0.26","0.26","0.26"
"22152000","0.204","0.204","0.204"
"22183200","0.22","0.22","0.22"
"22214400","0.256","0.256","0.256"
"22245600","0.192","0.192","0.192"
"22276800","0.3","0.3","0.3"
"22308000","0.248","0.248","0.248"
"22339200","0.273","0.273","0.273"
"22370400","0.176","0.176","0.176"
"22401600","0.209","0.209","0.209"
"22432800","0.227","0.227","0.227"
"22464000","0.214","0.214","0.214"
"22495200","0.3","0.3","0.3"
"22526400","0.278","0.278","0.278"
"22557600","0.286","0.286","0.286"
"22588800","0.327","0.327","0.327"
"22620000","0.3","0.3","0.3"
"22651200","0.355","0.355","0.355"
"22682400","0.35","0.35","0.35"
"22713600","0.264","0.264","0.264"
"22744800","0.222","0.222","0.222"
"22776000","0.305","0.305","0.305"
"22807200","0.252","0.252","0.252"
"22838400","0.305","0.305","0.305"
"22869600","0.329","0.329","0.329"
"22900800","0.348","0.348","0.348"
"22932000","0.254","0.254","0.254"
"22963200","0.323","0.323","0.323"
"22994400","0.38","0.38","0.38"
"23025600","0.354","0.354","0.354"
"23056800","0.308","0.308","0.308"
"23088000","0.324","0.324","0.324"
"23119200","0.375","0.375","0.375"
"23150400","0.315","0.315","0.315"
"23181600","0.302","0.302","0.302"
"23212800","0.36","0.36","0.36"
"23244000","0.302","0.302","0.302"
"23275200","0.345","0.345","0.345"
"23306400","0.302","0.302","0.302"
"23337600","0.37","0.37","0.37"
"23368800","0.399","0.399","0.399"
"23400000","0.377","0.377","0.377"
"23431200","0.354","0.354","0.354"
"23462400","0.373","0.373","0.373"
"23493600","0.435","0.435","0.435"
"23524800","0.376","0.376","0.376"
"23556000","0.291","0.291","0.291"
"23587200","0.424","0.424","0.424"
"23618400","0.345","0.345","0.345"
"23649600","0.375","0.375","0.375"
"23680800","0.388","0.388","0.388"
"23712000","0.408","0.408","0.408"
"23743200","0.407","0.407","0.407"
"23774400","0.335","0.335","0.335"
"23805600","0.385","0.385","0.385"
"23836800","0.577","0.577","0.577"
"23868000","0.385","0.385","0.385"
"23899200","0.348","0.348","0.348"
"23930400","0.431","0.431","0.431"
"23961600","0.502","0.502","0.502"
"23992800","0.357","0.357","0.357"
"24024000","0.416","0.416","0.416"
"24055200","0.437","0.437","0.437"
"24086400","0.342","0.342","0.342"
"24117600","0.423","0.423","0.423"
"24148800","0.391","0.391","0.391"
"24180000","0.499","0.499","0.499"
"24211200","0.393","0.393","0.393"
"24242400","0.432","0.432","0.432"
"24273600","0.399","0.399","0.399"
"24304800","0.453","0.453","0.453"
"24336000","0.391","0.391","0.391"
"24367200","0.482","0.482","0.482"
"24398400","0.436","0.436","0.436"
"24429600","0.395","0.395","0.395"
"24460800","0.438","0.438","0.438"
"24492000","0.292","0.292","0.292"
"24523200","0.318","0.318","0.318"
"24554400","0.413","0.413","0.413"
"24585600","0.414","0.414","0.414"
"24616800","0.496","0.496","0.496"
"24648000","0.445","0.445","0.445"
